action,file,cdn_url,status,notes
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 020.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 020.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 021.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 021.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 022.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 022.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 023.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 023.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 024.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 024.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 025.jpg,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 025.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 026.jpg,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 026.jpg,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 027.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 027.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 028.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 028.JPG,deleted_from_code,CDN 200; removed from code repo
delete,C:\active_projects\mbu\website_build\mbu-website\assets\img\woodworking\Magnificent Michigan Epoxy Table 029.JPG,https://mbu-assets.vercel.app/img/woodworking/Magnificent Michigan Epoxy Table 029.JPG,deleted_from_code,CDN 200; removed from code repo
